0;1.0
0.1;1.0
0.2;1.1
0.3;1.1
0.4;1.1
0.5;1.2
0.6;1.2
0.7;1.3
0.8;1.3
0.9;1.3
1;1.4
1.1;1.4
1.2;1.4
1.3;1.5
1.4;1.5
1.5;1.6
1.6;1.6
1.7;1.6
1.8;1.7
1.9;1.7
2;1.7
2.1;1.8
2.2;1.8
2.3;1.9
2.4;1.9
2.5;1.9
2.6;2.0
2.7;2.0
2.8;2.0
2.9;2.1
3;2.1
3.1;2.1
3.2;2.2
3.3;2.2
3.4;2.3
3.5;2.3
3.6;2.3
3.7;2.4
3.8;2.4
3.9;2.4
4;2.5
4.1;2.5
4.2;2.6
4.3;2.6
4.4;2.6
4.5;2.7
4.6;2.7
4.7;2.7
4.8;2.8
4.9;2.8
5;2.9
5.1;2.9
5.2;2.9
5.3;3.0
5.4;3.0
5.5;3.0
5.6;3.1
5.7;3.1
5.8;3.1
5.9;3.2
6;3.2
6.1;3.3
6.2;3.3
6.3;3.3
6.4;3.4
6.5;3.4
6.6;3.4
6.7;3.5
6.8;3.5
6.9;3.6
7;3.6
7.1;3.6
7.2;3.7
7.3;3.7
7.4;3.7
7.5;3.8
7.6;3.8
7.7;3.9
7.8;3.9
7.9;3.9
8;4.0
8.1;4.0
8.2;4.1
8.3;4.1
8.4;4.2
8.5;4.2
8.6;4.3
8.7;4.3
8.8;4.4
8.9;4.4
9;4.5
9.1;4.6
9.2;4.6
9.3;4.7
9.4;4.7
9.5;4.8
9.6;4.8
9.7;4.9
9.8;4.9
9.9;5.0
10;5.1
10.1;5.1
10.2;5.2
10.3;5.2
10.4;5.3
10.5;5.3
10.6;5.4
10.7;5.4
10.8;5.5
10.9;5.6
11;5.6
11.1;5.7
11.2;5.7
11.3;5.8
11.4;5.8
11.5;5.9
11.6;5.9
11.7;6.0
11.8;6.1
11.9;6.1
12;6.2
12.1;6.2
12.2;6.3
12.3;6.3
12.4;6.4
12.5;6.4
12.6;6.5
12.7;6.6
12.8;6.6
12.9;6.7
13;6.7
13.1;6.8
13.2;6.8
13.3;6.9
13.4;6.9
13.5;7.0
